CustomerID,Customer Name,City,District,State,OMC,Class of Mkt,Latitude,Longitude,Fiscal Year,Month,MS Vol,HSD Vol
HPC41002018,MS HSD SHREE BABA BALAKNATH FUELS,DHANAURI - RETAIL,UT-UDHAM SINGH NGR,Uttaranchal,HPCL,C,29.26,79.01,2024,July,45,99
HPC41002019,M/s GURJAR FUEL STATION,HARJIPURA - RETAIL,MP-DEWAS,Madhya Pradesh,HPCL,C,22.85,76.5,2024,July,20,20
HPC41002020,PINARAYI FUEL STATION,PINARAYI - RETAIL,KL-CANNANORE,Kerala,HPCL,C,11.81,75.49,2024,July,146,68
HPC41002021,MS/HSD DEVPURAN FUEL STATION,HALDWANI - RETAIL,UT-NAINITAL,Uttaranchal,HPCL,C,29.21,79.48,2024,July,100,43
HPC41002022,M/s SHREE BIHARIJI FUEL CENTER,KASARVAD - RETAIL,MP-KHARGONE,Madhya Pradesh,HPCL,C,22.02,75.74,2024,July,47,23
HPC41002023,SEEPEACE FUELS,KONDOTI - RETAIL,KL-MALLAPURAM,Kerala,HPCL,D1,11.14,75.97,2024,July,100,160
HPC41002024,M/S SHREE PARAMHANS FUELS,GOPAL NAGAR - RETAIL,UT-UDHAM SINGH NGR,Uttaranchal,HPCL,C,29.07,79.25,2024,July,20,42
HPC41002025,M/s SHAKAMBHARI FUELS,MORODHAT - RETAIL,MP-INDORE,Madhya Pradesh,HPCL,D1,22.7,76.1,2024,July,28,91
HPC41002027,M/s BATRA FUELS,MORODHAT - RETAIL,MP-INDORE,Madhya Pradesh,HPCL,D1,22.69,76.07,2024,July,20,60
HPC41002028,M/S MS/HSD DHARAMVEER SINGH AND SON,DHARAM PURA - RETAIL,UT-UDHAM SINGH NGR,Uttaranchal,HPCL,C,29.01,79.38,2024,July,11,15
HPC41002029,AMAN ASSOCIATES,MALAPURAM - RETAIL,KL-MALLAPURAM,Kerala,HPCL,D2,11.04,76.07,2024,July,92,76
HPC41002030,M/s BINJALIYA FUELS AND ENERGY,INDORE-RING RD - RETAIL,MP-INDORE,Madhya Pradesh,HPCL,D1,22.7,75.93,2024,July,64,103
HPC41002031,MS/HSD GANGOTRI FILLING STATION,KANDISAUR - RETAIL,UT-TEHRI-GARHWAL,Uttaranchal,HPCL,D1,30.48,78.36,2024,July,24,24
HPC41002032,M/S LAXMI PETROLEUM,ANJANGAON - RETAIL,MH-SHOLAPUR,Maharastra,HPCL,D2,17.9,75.57,2024,July,50.5,61.5
HPC41002033,M/s HP AUTO FUELS,PUDHUNAGARAM - RETAIL,KL-PALGHAT,Kerala,HPCL,D2,10.68,76.69,2024,July,76,56
HPC41002034,MS GURU KIRPA FILLING STATION HP,DEHRADUN - RETAIL,UT-DEHRADUN,Uttaranchal,HPCL,B,30.33,78,2024,July,195,81
HPC41002035,M/s  JETWAY OIL   FUEL SERVICES HOM,VERNA - RETAIL,GA-SOUTH GOA,Goa,HPCL,-,0,0,2024,July,0,0
HPC41002036,J M PETROLEUM,VALIATHUR - RETAIL,KL-MALLAPURAM,Kerala,HPCL,D2,10.94,75.94,2024,July,72,60
HPC41002038,M/S YASH HP FILLING STATION,PATTI BHAJJAR - RETAIL,UT-UDHAM SINGH NGR,Uttaranchal,HPCL,C,29.25,79.02,2024,July,27,61
HPC41002039,M/S  SANJIVAN FUEL STATION,VADGAON NH-4 LHS - RETAIL,MH-KOLHAPUR,Maharastra,HPCL,D1,16.89,74.3,2024,July,22,26
HPC41002040,FATHIMAS PETROLIUM AGENCY,PAYYOLI - RETAIL,KL-KOZHIKODE,Kerala,HPCL,D1,11.52,75.62,2024,July,32,28
HPC41002041,MS/HSD SOORAJ FILLING STATION,GYANSU - RETAIL,UT-UTTARKASHI,Uttaranchal,HPCL,D1,30.73,78.42,2024,July,45,27
HPC41002042,M/S SILCA FUELS,VERNA - RETAIL,GA-SOUTH GOA,Goa,HPCL,D1,15.35,73.97,2024,July,110,210
HPC41002044,THEYYAMPATTIL PETROLEUM,PUTHANATHANI - RETAIL,KL-MALLAPURAM,Kerala,HPCL,D1,10.93,76.01,2024,July,32,52
HPC41002045,MS/HSD HAMARA PUMP DHARAM S/S,MANGLAUR - RETAIL,UT-HARIDWAR,Uttaranchal,HPCL,C,29.8,77.82,2024,July,24,12
HPC41002047,P K AUTO FUELS,CHELAMBRA - RETAIL,KL-MALLAPURAM,Kerala,HPCL,D1,11.14,75.9,2024,July,61,43
HPC41002049,M/s N S  PETROLEUM,HATTA - RETAIL,MP-DAMOH,Madhya Pradesh,HPCL,D2,24.24,79.81,2024,July,9,23
HPC41002050,M/s ADHOC PRABHU AUTOMOBILES  PATHA,PATHARIYA - RETAIL,MP-DAMOH,Madhya Pradesh,HPCL,-,23.9,79.21,2024,July,30,38
HPC41002051,MS/HSD HAMARA PUMP RAO F/S,SIDCUL - RETAIL,UT-HARIDWAR,Uttaranchal,HPCL,C,29.94,78.05,2024,July,48,378
HPC41002052,M/s SAHIB PETROLEUM,KARUKAPUTHUR - RETAIL,KL-PALGHAT,Kerala,HPCL,C,10.73,76.15,2024,July,48,52
HPC41002053,ARADHYA FUEL STATION,BAIKUNTHPUR - RETAIL,MP-REWA,Madhya Pradesh,HPCL,C,24.82,81.35,2024,July,25,55
HPC41002054,MSHSD DEVBHOOMI FILLING STATION,DEHRADUN - RETAIL,UT-DEHRADUN,Uttaranchal,HPCL,B,30.29,78.02,2024,July,90,55
HPC41002055,SARAVANA ENTERPRISES  HPC DEALER,ERODE - RETAIL,TN-ERODE,Tamil Nadu,HPCL,B,11.35,77.72,2024,July,60,72
HPC41002056,M/s AJAB ANUGRAH SHRI PETROL PUMP,FATEHPUR - RETAIL,MP-DAMOH,Madhya Pradesh,HPCL,D2,24.18,79.52,2024,July,38,34
HPC41002057,NPR PETROLEUM,MUMMUDI-RETAIL,TN-SALEM,Tamil Nadu,HPCL,C,11.57,78.75,2024,July,37,85
HPC41002058,MSHSD ABHINAV FUELS,RISHIKESH - RETAIL,UT-DEHRADUN,Uttaranchal,HPCL,C,30.11,78.29,2024,July,100,275
HPC41002061,PATLATH FUELS,PARAPPA - RETAIL,KL-KASARGOD,Kerala,HPCL,C,12.37,75.25,2024,July,44,64
HPC41002062,NATIONAL FUEL,HALDWANI - RETAIL,UT-NAINITAL,Uttaranchal,HPCL,C,29.21,79.52,2024,July,82,13
HPC41002063,NARVADA FILLING STATION,MAUGANJ - RETAIL,MP-REWA,Madhya Pradesh,HPCL,C,24.64,81.86,2024,July,26,38
HPC41002064,M/s N S FUELS,POLPULLY - RETAIL,KL-PALGHAT,Kerala,HPCL,C,10.73,76.72,2024,July,68,28
HPC41002065,M/S OM SAI FUELS,KUNWARPUR- SISSAYA - R,UT-UDHAM SINGH NGR,Uttaranchal,HPCL,D1,28.88,79.67,2024,July,30,70
HPC41002066,HARSHAD PETROLEUM,SEONI - RETAIL,MP-SEONI,Madhya Pradesh,HPCL,D2,22.1,79.59,2024,July,18,46
HPC41002067,M/s SREE LAKSHMI FUEL SERVICE STATI,KORATEGIRI - RETAIL,KA-TUMKUR,Karnataka,HPCL,C,13.54,77.08,2024,July,50,54
HPC41002068,SHRI SAI JYOTI FUELS,AMARWARA - RETAIL,MP-CHHINDWARA,Madhya Pradesh,HPCL,C,22.18,79.27,2024,July,28,28
HPC41002070,MSHSD ABHI SERVICE STATION,DHAMOULI URF KHARWALA - RETAIL,UT-HARIDWAR,Uttaranchal,HPCL,D1,29.82,78.13,2024,July,41,35
HPC41002071,M/s LAKSHMIDEVI FUELS,ARAKERE - RETAIL,KA-MANDYA,Karnataka,HPCL,C,12.46,76.84,2024,July,20,28
HPC41002072,M/s HANS FILLING STATION,INDORE-RING RD - RETAIL,MP-INDORE,Madhya Pradesh,HPCL,D1,22.69,75.93,2024,July,120,256
HPC41002073,MULLERIA PETROLEUM,MULLERIA - RETAIL,KL-KASARGOD,Kerala,HPCL,D2,12.54,75.16,2024,July,56,52
HPC41002074,MSHSD DEEWAN FILLING STATION,PREMPUR LOSHYANI - RET,UT-NAINITAL,Uttaranchal,HPCL,C,29.19,79.47,2024,July,30,14
HPC41002075,MS HSD MTB FUEL STATION,BANGALORE OML - RETAIL,KA-BANGALORE-URB,Karnataka,HPCL,D1,13.02,77.71,2024,July,169,172
HPC41002076,M/s GURU KRIPA FUEL STATION,AKYA UMKHEDA - RETAIL,MP-MANDASAUR,Madhya Pradesh,HPCL,D2,23.84,75.1,2024,July,21,51
HPC41002077,MSHSD SANJEEV FUELS,GUMANIWALA - RETAIL,UT-DEHRADUN,Uttaranchal,HPCL,C,30.07,78.24,2024,July,140,210
HPC41002079,MSHSD VINAYAK FUEL STATION,ALIRAJPUR - RETAIL,MP-ALIRAJPUR,Madhya Pradesh,HPCL,D2,22.35,74.25,2024,July,13,37
HPC41002081,MEGHA FUELS,NAYATTUPARA - RETAIL,KL-CANNANORE,Kerala,HPCL,C,11.97,75.52,2024,July,28,44
HPC41002082,VIJAY HP FUEL CENTRE,NAWARKHERA - RETAIL,UT-NAINITAL,Uttaranchal,HPCL,D1,29.22,79.55,2024,July,30,50
HPC41002083,M/s ADHOC SANWARIYA FILLING CENTER,PIPALRAWAN - RETAIL,MP-DEWAS,Madhya Pradesh,HPCL,C,23.15,76.46,2024,July,22,6
HPC41002084,M/s SRI HANUMAN SERVICE STATION,CHIKBALAPUR - RETAIL,KA-CHIKKABALLAPURA,Karnataka,HPCL,C,13.37,77.73,2024,July,20,88
HPC41002085,M/S HARMILAP AUTO SERVICE,KICHHA - RETAIL,UT-UDHAM SINGH NGR,Uttaranchal,HPCL,C,28.89,79.48,2024,July,19,41
HPC41002086,M/s ANADI FUELS,DEWAS - RETAIL,MP-DEWAS,Madhya Pradesh,HPCL,D1,22.95,76.07,2024,July,9,75
HPC41002088,M/s PRABHU FUEL STATION,SIRA - RETAIL,KA-TUMKUR,Karnataka,HPCL,C,13.73,76.91,2024,July,65,61
HPC41002090,MS HSD PALLIYAL PETROLEUM,TARUVANA - RETAIL,KL-WYNAAD,Kerala,HPCL,C,11.74,75.99,2024,July,68,76
HPC41002091,MS/HSD SANJEEDA FILLING STATION,KALIYAR - RETAIL,UT-HARIDWAR,Uttaranchal,HPCL,D2,29.94,77.95,2024,July,85,83
HPC41002092,M/s ADWITIYA FILLING CENTRE,"JP-JAYA NAGAR, BANGALORE - RETAIL",KA-BANGALORE-URB,Karnataka,HPCL,A,12.91,77.58,2024,July,150,164
HPC41002094,MS/HSD AGARWAL FILLING STATION,JWALAPUR - RETAIL,UT-HARIDWAR,Uttaranchal,HPCL,C,29.91,78.1,2024,July,91,21
HPC41002096,M/s THIMMARAYASWAMY ENTERPRISES,"BANNERGHATTA, BANGALORE - RETAIL",KA-BANGALORE-URB,Karnataka,HPCL,A,12.87,77.62,2024,July,114,84
HPC41002098,MS/HSD OM ADITYA FILLING STATION,DOIWAL - RETAIL,UT-DEHRADUN,Uttaranchal,HPCL,C,30.17,78.12,2024,July,63,33
HPC41002099,M/s SHREE HP PETROLEUMS,"CHANDRA LAYOUT-KENGERI, B'LORE - RETAIL",KA-BANGALORE-URB,Karnataka,HPCL,A,12.95,77.48,2024,July,109,113
HPC41002100,GRACE FUELS,IRRITY - RETAIL,KL-CANNANORE,Kerala,HPCL,D2,12.01,75.69,2024,July,40,41
HPC41002101,SHRI GANESH SERVICE STATION,ROORKEE - RETAIL,UT-HARIDWAR,Uttaranchal,HPCL,C,29.86,78.01,2024,July,30,54
HPC41002103,M/s LN FILLING STATION,"BASWESWARNAGAR, BANGALORE - RETAIL",KA-BANGALORE-URB,Karnataka,HPCL,A,12.98,77.52,2024,July,133,71
HPC41002106,MSHSD SHIV SHAKTI FILLING STATION,DEHRADUN - RETAIL,UT-DEHRADUN,Uttaranchal,HPCL,D2,30.4,78.08,2024,July,130,110
HPC41002107,M/s NN   SONS FUEL STATION,"OLD AIRPORT, BANGALORE - RETAIL",KA-BANGALORE-URB,Karnataka,HPCL,A,12.96,77.71,2024,July,445,229
HPC41002108,P P FUELS,TELICHERRY - RETAIL,KL-CANNANORE,Kerala,HPCL,C,11.75,75.49,2024,July,16,8
HPC41002111,M/s SATHEESH FUEL STATION,MAGADI - RETAIL,KA-RAMNAGARA,Karnataka,HPCL,D2,13.06,77.27,2024,July,39,71
HPC41002112,MANGALA FUELS,CALICUT - RETAIL,KL-KOZHIKODE,Kerala,HPCL,C,11.27,75.84,2024,July,120,112
HPC41002113,MSHSD RAPIDS FILLING STATION AND AU,DEHRADUN - RETAIL,UT-DEHRADUN,Uttaranchal,HPCL,B,30.32,78.03,2024,July,110,50
HPC41002114,M/s CBW ENTERPRISE,BIDARAHALLI - RETAIL,KA-BANGALORE-URB,Karnataka,HPCL,A,13.09,77.64,2024,July,96,123
HPC41002115,THOTTUMUKKAM FUELS,THOTTUMUKKAM - RETAIL,KL-KOZHIKODE,Kerala,HPCL,C,11.29,76.07,2024,July,44,52
HPC41002117,M/s MG Petrol Station,"HENNUR, BANGALORE - RETAIL",KA-BANGALORE-URB,Karnataka,HPCL,A,13.04,77.64,2024,July,88,58
HPC41002118,G M PETROLEUMS,IRULAM - RETAIL,KL-WYNAAD,Kerala,HPCL,C,11.75,76.2,2024,July,76,56
HPC41002119,HIMALAYA HIGHWAY FILLING STATION,ALMORA - RETAIL,UT-ALMORA,Uttaranchal,HPCL,D1,29.62,79.63,2024,July,63,45
HPC41002120,M/s SREE CHOWDESWARI FUEL STATION,"CHANDRA LAYOUT-KENGERI, B'LORE - RETAIL",KA-BANGALORE-URB,Karnataka,HPCL,D1,12.87,77.44,2024,July,56,302
HPC41002121,M/s SAKTHI FUELS,ALOOR - RETAIL,KL-TRICHUR,Kerala,HPCL,D2,10.34,76.3,2024,July,76,80
HPC41002122,MS/HSD JAI ISHT DEV FILLING STATION,DANIYA - RETAIL,UT-ALMORA,Uttaranchal,HPCL,D1,29.57,79.92,2024,July,24,36
HPC41002123,M/s  AYYENCHIRA PETRO PARK,MADAIKONAM - RETAIL,KL-TRICHUR,Kerala,HPCL,C,10.38,76.24,2024,July,76,44
HPC41002124,NARAYANI FILLING STATION PALMA,RAGUNATHPUR - RETAIL,WB-PURULIA,West Bengal,HPCL,D2,23.5,86.58,2024,July,57,131
HPC41002125,M/s H ANJANAPPA AND SONS FUEL POINT,NEELAMANGALA - RETAIL,KA-BANGALORE-RUR,Karnataka,HPCL,C,13.09,77.42,2024,July,124,117
HPC41002126,LAKSHAY FILLING STATION,KALIYAR - RETAIL,UT-HARIDWAR,Uttaranchal,HPCL,C,29.95,77.96,2024,July,36,12
HPC41002127,APM FUELS,ODUVALLY - RETAIL,KL-CANNANORE,Kerala,HPCL,C,12.1,75.4,2024,July,20,28
HPC41002128,ADHOC SHREE BALAJEE F S  PAKURIA,PAKURIA - RETAIL,JH-PAKUR,Jharkhand,HPCL,C,24.33,87.65,2024,July,52.5,25.5
HPC41002129,MSHSD THANO FILLING STATION,RAMNAGAR DANDA - RETAIL,UT-DEHRADUN,Uttaranchal,HPCL,C,30.23,78.2,2024,July,51,33
HPC41002130,M/s NETHRAVATHI FUEL STATION,"CHANDRA LAYOUT-KENGERI, B'LORE - RETAIL",KA-BANGALORE-URB,Karnataka,HPCL,A,12.94,77.52,2024,July,71,89
HPC41002132,SHIVAM FUEL STATION,SALTORA - RETAIL,WB-BANKURA,West Bengal,HPCL,C,23.56,86.91,2024,July,20,52
HPC41002133,JAI DHOULINAG FILLING STATION,MUSYOLI - RETAIL,UT-BAGESHWAR,Uttaranchal,HPCL,D1,29.82,79.87,2024,July,17,31
HPC41002134,M/s THE MANCHAIAHS FUEL LOUNGE,PEENYA(BANGALORE) - RETAIL,KA-BANGALORE-URB,Karnataka,HPCL,A,13.02,77.52,2024,July,240,240
HPC41002135,MSHSD SHUBHAM FILLING STATION,GHANSALI - RETAIL,UT-TEHRI-GARHWAL,Uttaranchal,HPCL,C,30.43,78.65,2024,July,27,45
HPC41002136,BERKA PETROLEUM AGENCIES,NELLIKETTA - RETAIL,KL-KASARGOD,Kerala,HPCL,D2,12.54,75.07,2024,July,36,28
HPC41002137,M/s PRAGATHI FUEL STATION,BUDIGERE - RETAIL,KA-BANGALORE-RUR,Karnataka,HPCL,A,13.13,77.74,2024,July,27,161
HPC41002138,M/S OMKANTA FUELS BANDUAN,BANDUAN - RETAIL,WB-PURULIA,West Bengal,HPCL,C,22.88,86.51,2024,July,26,90
HPC41002139,BALA DEVI FILLING STATION,MANGLAUR - RETAIL,UT-HARIDWAR,Uttaranchal,HPCL,C,29.8,77.92,2024,July,45,75
HPC41002140,PAVITHRA FUELS,KURUMATHUR - RETAIL,KL-CANNANORE,Kerala,HPCL,D2,12.04,75.42,2024,July,30,70
HPC41002141,M/s J K FUEL STATION,BIDARAHALLI - RETAIL,KA-BANGALORE-URB,Karnataka,HPCL,A,13.06,77.65,2024,July,378,260
HPC41002142,M/s R S FILLING STATION,MAJHEON - RETAIL,JH-GARHWA,Jharkhand,HPCL,C,24.48,83.74,2024,July,26.5,57.5
HPC41002143,NAVODAYA FILLING STATION,SIDCUL - RETAIL,UT-HARIDWAR,Uttaranchal,HPCL,C,29.97,78.05,2024,July,90,54
HPC41002144,M/s CNV ENTERPRISES,WHITEFIELD - RETAIL,KA-BANGALORE-URB,Karnataka,HPCL,A,12.97,77.73,2024,July,388,250
HPC41002147,YADAV FILLING STATION,JWALAPUR - RETAIL,UT-HARIDWAR,Uttaranchal,HPCL,C,29.9,78.09,2024,July,75,33
HPC41002148,M/s CHITHRA SERVICE STATION,"KR PURAM, BANGALORE - RETAIL",KA-BANGALORE-URB,Karnataka,HPCL,A,12.97,77.77,2024,July,215,163
HPC41002151,MS HSD HARILEELA HIGHWAY,KATHGODAM - RETAIL,UT-NAINITAL,Uttaranchal,HPCL,D1,29.26,79.54,2024,July,32,16
HPC41002154,M/s K C V FUEL STATION,DEVANAHALLI - RETAIL,KA-BANGALORE-RUR,Karnataka,HPCL,D2,13.3,77.7,2024,July,47,159
HPC41002156,MS/HSD SHREE FILLING STATION,DEHRADUN - RETAIL,UT-DEHRADUN,Uttaranchal,HPCL,B,30.28,78.04,2024,July,189,49
HPC41002158,M/s SHARADA PRAKASH PETROLEUM,YELEHANKA - RETAIL,KA-BANGALORE-URB,Karnataka,HPCL,A,13.08,77.55,2024,July,174,118
HPC41002160,MS/HSD GANPATI FILLING STATION,ROORKEE - RETAIL,UT-HARIDWAR,Uttaranchal,HPCL,C,29.86,77.88,2024,July,75,9
HPC41002162,M/s KALGUDI FUELS,KEELARA - RETAIL,KA-MANDYA,Karnataka,HPCL,C,12.59,76.94,2024,July,24,24
HPC41002164,M/s VH NAGABHUSHAN REDDY FUEL STATI,LINGADAHALLI - RETAIL,KA-TUMKUR,Karnataka,HPCL,D2,14.18,77.05,2024,July,58,54
HPC41002170,MSHSD FARHA SERVICE STATION,MALDANGA - RETAIL,WB-PURBA BARDHAMAN,West Bengal,HPCL,C,23.43,88.16,2024,July,27,145
HPC41002171,MS/ HSD RENUKAMBA FUELS,BANGALORE CENTRAL - RETAIL,KA-BANGALORE-URB,Karnataka,HPCL,A,12.86,77.66,2024,July,195,225
HPC41002174,M/s SUNSHINE FUEL STATION,RAJANKUNTE - RETAIL,KA-BANGALORE-URB,Karnataka,HPCL,C,13.18,77.52,2024,July,35,107
HPC41002179,M/s SRI SAI RANGANATHA FUEL STATION,"CHANDRA LAYOUT-KENGERI, B'LORE - RETAIL",KA-BANGALORE-URB,Karnataka,HPCL,A,12.93,77.5,2024,July,63,47
HPC41002182,M/s Sri Maruthi Fuel Station,HOSKOTE - RETAIL,KA-BANGALORE-RUR,Karnataka,HPCL,D2,13.12,77.82,2024,July,30,232
HPC41002185,MS/HSD SRI VENKATESHWARA FUEL STATI,PAVAGADA - RETAIL,KA-TUMKUR,Karnataka,HPCL,D2,14.11,77.31,2024,July,20,40
HPC41002186,RANISAYAR SERVICE STATION,ASANSOL - RETAIL,WB-PASCHIM BARDHAMAN,West Bengal,HPCL,B,23.69,86.89,2024,July,46,70
HPC41002188,MSHSD SABHYA FUELS,NAGAVALLI - RETAIL,KA-TUMKUR,Karnataka,HPCL,D2,13.25,77.08,2024,July,45,95
HPC41002191,MSHSD MATHA FUELS,NITTUR - RETAIL,KA-TUMKUR,Karnataka,HPCL,D2,13.31,76.86,2024,July,24,48
HPC41002195,M/s KOTILINGESHWARA FUEL POINT,BETHAMANGALA - RETAIL,KA-KOLAR,Karnataka,HPCL,D2,13,78.3,2024,July,33,53
HPC41002197,BALAJI FUEL STATION CHHANDAR,BELIATORE - RETAIL,WB-BANKURA,West Bengal,HPCL,D2,23.31,87.27,2024,July,24,120
HPC41002198,M/s KSS ENTERPRISES,SRINIVASAPURA - RETAIL,KA-KOLAR,Karnataka,HPCL,D2,13.44,78.2,2024,July,17,141
HPC41002201,M/s S M PETRO AGENCY,"MAGADI ROAD, BANGALORE - RETAIL",KA-BANGALORE-URB,Karnataka,HPCL,A,12.99,77.49,2024,July,210,107
HPC41002204,M/s SHREE MARUTHI PETRO AGENCY,"CHANDRA LAYOUT-KENGERI, B'LORE - RETAIL",KA-BANGALORE-URB,Karnataka,HPCL,A,12.97,77.49,2024,July,95,65
HPC41002206,M/s SANAND FUEL STATION,"YESHWANTAPUR, BANGALAORE(RETL) - RETAIL",KA-BANGALORE-URB,Karnataka,HPCL,A,13.05,77.51,2024,July,122,70
HPC41002207,SWAPAN FILLING STATION RAMSAGAR,ONDA - RETAIL,WB-BANKURA,West Bengal,HPCL,D1,23.11,87.26,2024,July,43,125
HPC41002208,M/s  SMR FUEL POINT,JANGAMKOTE CROSS - RETAIL,KA-CHIKKABALLAPURA,Karnataka,HPCL,D2,13.25,77.92,2024,July,49,83
HPC41002211,M/s  SUNSHINE FUEL PARK,BETHAMANGALA - RETAIL,KA-KOLAR,Karnataka,HPCL,D2,13,78.34,2024,July,36,96
HPC41002213,MSHSD RAJATHADRI FUELING STATION,TUMKUR - RETAIL,KA-TUMKUR,Karnataka,HPCL,C,13.31,77.15,2024,July,45,115
HPC41002215,MSHSD SHREE SUMUKHA FUEL STATION,CHIKKANAYAKANAHALLI - RETAIL,KA-TUMKUR,Karnataka,HPCL,C,13.43,76.63,2024,July,40,80
HPC41002217,MSHSD SRI T C Narasimhaya   Sons,BYRANAHALLI - RETAIL,KA-TUMKUR,Karnataka,HPCL,C,13.82,77.31,2024,July,36,36
HPC41002218,M/S DEBJISHU SERVICE STATION,CHASMODE - RETAIL,WB-PURULIA,West Bengal,HPCL,D2,23.41,86.17,2024,July,36,72
HPC41002219,MSHSD SRI RAGHAVENDRA FUELS,PAVAGADA - RETAIL,KA-TUMKUR,Karnataka,HPCL,C,14.07,77.07,2024,July,55,65
HPC41002221,MAA RAKSHAKALI FILLING STATION,AUSGRAM - RETAIL,WB-PURBA BARDHAMAN,West Bengal,HPCL,D2,23.44,87.66,2024,July,29,63
HPC41002222,M/s MAHALAKSHMI SERVICE STATION,RAMOHALLI - RETAIL,KA-BANGALORE-URB,Karnataka,HPCL,A,12.89,77.44,2024,July,65,215
HPC41002223,R S P  FILLING CENTRE,DURGAPUR - RETAIL,WB-PASCHIM BARDHAMAN,West Bengal,HPCL,C,23.6,87.32,2024,July,33,47
HPC41002224,M/s SAI SHREYATHE FUELS,NEELAMANGALA - RETAIL,KA-BANGALORE-RUR,Karnataka,HPCL,D1,13.09,77.4,2024,July,105,95
HPC41002225,MSHSD JANANI FUEL PARK,TURUVEKERE - RETAIL,KA-TUMKUR,Karnataka,HPCL,C,13.17,76.55,2024,July,52,116
HPC41002226,MAJI AUTO SERVICE RUNAKURIA GHAT,KAPISHTHA - RETAIL,WB-PASCHIM BARDHAMAN,West Bengal,HPCL,C,23.85,87,2024,July,15,83
HPC41002227,M/s SREE SAI VENKAT FUEL PARK,"TIRUMALSETTYHALLI, BANGALORE - RETAIL",KA-BANGALORE-RUR,Karnataka,HPCL,C,12.95,77.8,2024,July,74,142
HPC41002228,ADHOC KAPISTHA AUTO SERVICE,SALANPUR - RETAIL,WB-PASCHIM BARDHAMAN,West Bengal,HPCL,D1,23.74,86.89,2024,July,0,0
HPC41002229,M/s SHREE VARDHAN FUEL PARK,BANGALORE CENTRAL - RETAIL,KA-BANGALORE-URB,Karnataka,HPCL,A,13.01,77.66,2024,July,135,65
HPC41002230,MSHSD SHRI NARAYAN FILLING STATION,MALAMBA - RETAIL,WB-PURBA BARDHAMAN,West Bengal,HPCL,D2,23.35,88.14,2024,July,28,92
HPC41002231,BANKURA FILLING STATION,BANKURA - RETAIL,WB-BANKURA,West Bengal,HPCL,C,23.25,87.03,2024,July,75,53
HPC41002232,M/s S H PETROLEUM  SHEAKHALA,SEAKALA - RETAIL,WB-HOOGHLY,West Bengal,HPCL,D2,22.76,88.18,2024,July,42,80
HPC41002233,MSHSD SOM AUTO FUELS,BUDBUD OML - RETAIL,WB-PURBA BARDHAMAN,West Bengal,HPCL,D1,23.39,87.59,2024,July,5,107
HPC41002234,M/s RUNA FUEL PUMP BALAGARH,INCHURA - RETAIL,WB-HOOGHLY,West Bengal,HPCL,D2,23.18,88.42,2024,July,61,101
